risk_band,risk_score,invoice_id,customer_id,customer_name,due_date,balance,days_past_due,predicted_days_late,predicted_payment_date,reason
Medium,0.480,INV-2124,C-03,Perrin Life Sciences,2026-08-19,37685.06,7,17,2026-09-05,"Perrin Life Sciences has paid 67% of 21 settled invoices late, median 3d (sd 21d, worst 51d); this invoice is 7d past due with 37,685.06 outstanding; account-level: account referred to legal counsel; expected payment around 2026-09-05 (~17d past terms)."
Medium,0.471,INV-2161,C-04,Vantage Metalworks,2026-09-22,7045.90,0,11,2026-10-03,"Vantage Metalworks has paid 54% of 24 settled invoices late, median 1d (sd 21d, worst 59d); this invoice is not yet due (2026-09-22); blocked: rejected on PO mismatch, needs reissue; account-level: AP contact has left; new address unverified; expected payment around 2026-10-03 (~11d past terms)."
Medium,0.468,INV-2287,C-08,Kesteven Industrial,2026-08-27,72054.53,0,26,2026-09-22,"Kesteven Industrial has paid 100% of 13 settled invoices late, median 16d (sd 4d, worst 21d); this invoice is not yet due (2026-08-27); blocked: sitting in the customer's AP portal queue; expected payment around 2026-09-22 (~26d past terms)."
Medium,0.461,INV-2123,C-03,Perrin Life Sciences,2026-09-04,34814.46,0,13,2026-09-17,"Perrin Life Sciences has paid 67% of 21 settled invoices late, median 3d (sd 21d, worst 51d); this invoice is not yet due (2026-09-04); account-level: account referred to legal counsel; expected payment around 2026-09-17 (~13d past terms)."
Medium,0.461,INV-2126,C-03,Perrin Life Sciences,2026-10-01,34177.59,0,13,2026-10-14,"Perrin Life Sciences has paid 67% of 21 settled invoices late, median 3d (sd 21d, worst 51d); this invoice is not yet due (2026-10-01); account-level: account referred to legal counsel; expected payment around 2026-10-14 (~13d past terms)."
Medium,0.457,INV-2125,C-03,Perrin Life Sciences,2026-09-29,17543.97,0,13,2026-10-12,"Perrin Life Sciences has paid 67% of 21 settled invoices late, median 3d (sd 21d, worst 51d); this invoice is not yet due (2026-09-29); account-level: account referred to legal counsel; expected payment around 2026-10-12 (~13d past terms)."
Medium,0.412,INV-2358,C-10,Thackeray Advisory,2026-09-08,15098.72,0,36,2026-10-14,"Thackeray Advisory has paid 100% of 25 settled invoices late, median 36d (sd 6d, worst 44d); this invoice is not yet due (2026-09-08); expected payment around 2026-10-14 (~36d past terms)."
Medium,0.411,INV-2087,C-02,Cormack Retail Group,2026-08-01,9952.53,25,26,2026-08-27,"Cormack Retail Group has paid 100% of 36 settled invoices late, median 25d (sd 4d, worst 32d); this invoice is 25d past due with 9,952.53 outstanding; expected payment around 2026-08-27 (~26d past terms)."
Medium,0.410,INV-2360,C-10,Thackeray Advisory,2026-09-25,13046.71,0,36,2026-10-31,"Thackeray Advisory has paid 100% of 25 settled invoices late, median 36d (sd 6d, worst 44d); this invoice is not yet due (2026-09-25); expected payment around 2026-10-31 (~36d past terms)."
Medium,0.408,INV-2359,C-10,Thackeray Advisory,2026-10-05,10049.40,0,36,2026-11-10,"Thackeray Advisory has paid 100% of 25 settled invoices late, median 36d (sd 6d, worst 44d); this invoice is not yet due (2026-10-05); expected payment around 2026-11-10 (~36d past terms)."
Medium,0.378,INV-2086,C-02,Cormack Retail Group,2026-08-14,8797.11,12,25,2026-09-08,"Cormack Retail Group has paid 100% of 36 settled invoices late, median 25d (sd 4d, worst 32d); this invoice is 12d past due with 8,797.11 outstanding; expected payment around 2026-09-08 (~25d past terms)."
Medium,0.355,INV-2268,C-07,Saltmarsh Media,2026-08-20,6768.87,6,22,2026-09-11,"Saltmarsh Media has paid 100% of 23 settled invoices late, median 22d (sd 5d, worst 29d); this invoice is 6d past due with 6,768.87 outstanding; expected payment around 2026-09-11 (~22d past terms)."
Medium,0.349,INV-2089,C-02,Cormack Retail Group,2026-09-02,9977.71,0,25,2026-09-27,"Cormack Retail Group has paid 100% of 36 settled invoices late, median 25d (sd 4d, worst 32d); this invoice is not yet due (2026-09-02); expected payment around 2026-09-27 (~25d past terms)."
Medium,0.348,INV-2088,C-02,Cormack Retail Group,2026-09-23,8810.58,0,25,2026-10-18,"Cormack Retail Group has paid 100% of 36 settled invoices late, median 25d (sd 4d, worst 32d); this invoice is not yet due (2026-09-23); expected payment around 2026-10-18 (~25d past terms)."
Medium,0.346,INV-2090,C-02,Cormack Retail Group,2026-08-31,7159.84,0,25,2026-09-25,"Cormack Retail Group has paid 100% of 36 settled invoices late, median 25d (sd 4d, worst 32d); this invoice is not yet due (2026-08-31); expected payment around 2026-09-25 (~25d past terms)."
Medium,0.341,INV-2270,C-07,Saltmarsh Media,2026-09-15,7288.97,0,22,2026-10-07,"Saltmarsh Media has paid 100% of 23 settled invoices late, median 22d (sd 5d, worst 29d); this invoice is not yet due (2026-09-15); expected payment around 2026-10-07 (~22d past terms)."
Medium,0.339,INV-2269,C-07,Saltmarsh Media,2026-09-05,6440.05,0,22,2026-09-27,"Saltmarsh Media has paid 100% of 23 settled invoices late, median 22d (sd 5d, worst 29d); this invoice is not yet due (2026-09-05); expected payment around 2026-09-27 (~22d past terms)."
Medium,0.320,INV-2288,C-08,Kesteven Industrial,2026-09-18,78678.57,0,16,2026-10-04,"Kesteven Industrial has paid 100% of 13 settled invoices late, median 16d (sd 4d, worst 21d); this invoice is not yet due (2026-09-18); expected payment around 2026-10-04 (~16d past terms)."
Low,0.275,INV-2377,C-11,Ingleby Transport,2026-09-07,24021.85,0,10,2026-09-17,"Ingleby Transport has paid 17% of 12 settled invoices late, median -2d (sd 3d, worst 3d); this invoice is not yet due (2026-09-07); account-level: our contact address is dead; expected payment around 2026-09-17 (~10d past terms)."
Low,0.268,INV-2430,C-12,Woodvale Systems,2026-09-09,15018.00,0,3,2026-09-12,"Woodvale Systems has paid 64% of 39 settled invoices late, median 3d (sd 16d, worst 42d); this invoice is not yet due (2026-09-09); expected payment around 2026-09-12 (~3d past terms)."
Low,0.267,INV-2378,C-11,Ingleby Transport,2026-10-19,17815.97,0,10,2026-10-29,"Ingleby Transport has paid 17% of 12 settled invoices late, median -2d (sd 3d, worst 3d); this invoice is not yet due (2026-10-19); account-level: our contact address is dead; expected payment around 2026-10-29 (~10d past terms)."
Low,0.263,INV-2431,C-12,Woodvale Systems,2026-09-08,11706.36,0,3,2026-09-11,"Woodvale Systems has paid 64% of 39 settled invoices late, median 3d (sd 16d, worst 42d); this invoice is not yet due (2026-09-08); expected payment around 2026-09-11 (~3d past terms)."
Low,0.259,INV-2432,C-12,Woodvale Systems,2026-09-13,8663.34,0,3,2026-09-16,"Woodvale Systems has paid 64% of 39 settled invoices late, median 3d (sd 16d, worst 42d); this invoice is not yet due (2026-09-13); expected payment around 2026-09-16 (~3d past terms)."
Low,0.246,INV-2229,C-06,Northbrook Health,2026-09-01,26801.74,0,10,2026-09-11,"Northbrook Health has paid 33% of 36 settled invoices late, median -0d (sd 4d, worst 3d); this invoice is not yet due (2026-09-01); blocked: customer is waiting on information from us; expected payment around 2026-09-11 (~10d past terms)."
Low,0.165,INV-2033,C-01,Halvorsen Logistics,2026-09-01,18548.72,0,10,2026-09-11,"Halvorsen Logistics has paid 0% of 22 settled invoices late, median -1d (sd 1d, worst 0d); this invoice is not yet due (2026-09-01); blocked: customer cannot find the invoice in their system; expected payment around 2026-09-11 (~10d past terms)."
Low,0.099,INV-2323,C-09,Dunmore Foods,2026-09-16,9765.80,0,0,2026-09-16,"Dunmore Foods has paid 29% of 24 settled invoices late, median -0d (sd 3d, worst 3d); this invoice is not yet due (2026-09-16); expected payment around 2026-09-16 (~0d past terms)."
Low,0.097,INV-2234,C-06,Northbrook Health,2026-10-06,27473.79,0,0,2026-10-06,"Northbrook Health has paid 33% of 36 settled invoices late, median -0d (sd 4d, worst 3d); this invoice is not yet due (2026-10-06); expected payment around 2026-10-06 (~0d past terms)."
Low,0.096,INV-2233,C-06,Northbrook Health,2026-10-09,25303.99,0,0,2026-10-09,"Northbrook Health has paid 33% of 36 settled invoices late, median -0d (sd 4d, worst 3d); this invoice is not yet due (2026-10-09); expected payment around 2026-10-09 (~0d past terms)."
Low,0.093,INV-2232,C-06,Northbrook Health,2026-09-22,21017.91,0,0,2026-09-22,"Northbrook Health has paid 33% of 36 settled invoices late, median -0d (sd 4d, worst 3d); this invoice is not yet due (2026-09-22); expected payment around 2026-09-22 (~0d past terms)."
Low,0.089,INV-2324,C-09,Dunmore Foods,2026-09-07,6758.56,0,0,2026-09-07,"Dunmore Foods has paid 29% of 24 settled invoices late, median -0d (sd 3d, worst 3d); this invoice is not yet due (2026-09-07); expected payment around 2026-09-07 (~0d past terms)."
Low,0.019,INV-2034,C-01,Halvorsen Logistics,2026-09-10,25319.36,0,0,2026-09-10,"Halvorsen Logistics has paid 0% of 22 settled invoices late, median -1d (sd 1d, worst 0d); this invoice is not yet due (2026-09-10); expected payment around 2026-09-10 (~0d past terms)."
Low,0.019,INV-2036,C-01,Halvorsen Logistics,2026-10-03,24842.03,0,0,2026-10-03,"Halvorsen Logistics has paid 0% of 22 settled invoices late, median -1d (sd 1d, worst 0d); this invoice is not yet due (2026-10-03); expected payment around 2026-10-03 (~0d past terms)."
Low,0.010,INV-2035,C-01,Halvorsen Logistics,2026-09-28,10790.74,0,0,2026-09-28,"Halvorsen Logistics has paid 0% of 22 settled invoices late, median -1d (sd 1d, worst 0d); this invoice is not yet due (2026-09-28); expected payment around 2026-09-28 (~0d past terms)."
